"no","issn","title","title_main","comments","subjects","subj_codes"
720,"2220-4156","Вестник угроведения","Вестник угроведения",NA,"по 16.10.2022: 10.02.02 – Языки народов Российской Федерации | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание || с 01.02.2022: 5.6.4. Этнология, антропология и этнография | 5.9.4. Фольклористика || с 28.12.2018: 10.01.02 – Литература народов","10.01.02 | 10.02.02 | 10.02.20 | 5.6.4 | 5.9.4"
721,"2412-9518","Вестник Удмуртского университета. Серия Биология. Науки о Земле","Вестник Удмуртского университета. Серия Биология. Науки о Земле",NA,"с 01.02.2022: 1.6.12. Физическая география и биогеография, география почв и геохимия ландшафтов | 1.6.13. Экономическая, социальная, политическая и рекреационная география | 1.6.14. Геоморфология и палеогеография | 1.6.16. Гидрология суши, водные ресурсы, гидрохимия | 1.6.21. Геоэкология || с 28.12.2018: 25.00.30 – Метеорология, климатология","1.6.12 | 1.6.13 | 1.6.14 | 1.6.16 | 1.6.21 | 25.00.30"
722,"2413-2454","Вестник Удмуртского университета. Серия История и филология","Вестник Удмуртского университета. Серия История и филология",NA,"по 16.10.2022: 10.01.02 – Литература народов Российской Федерации | 10.01.03 – Литература народов стран зарубежья | 10.02.01 – Русский язык | 10.02.02 – Языки народов Российской Федерации | 10.02.03 – Славянские языки | 10.02.04 – Германские языки | 10.02.05 – Романские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.21 – Прикладная и математическая лингвистика || с 01.02.2022: 5.6.1. Отечественная история | 5.6.2. Всеобщая история | 5.6.5. Историография, источниковедение, методы исторического исследования | 5.9.3. Теория литературы | 5.9.4. Фольклористика || с 28.12.2018: 10.01.01 – Русская литература","10.01.01 | 10.01.02 | 10.01.03 | 10.02.01 | 10.02.02 | 10.02.03 | 10.02.04 | 10.02.05 | 10.02.19 | 10.02.20 | 10.02.21 | 5.6.1 | 5.6.2 | 5.6.5 | 5.9.3 | 5.9.4"
723,"2412-9550","Вестник Удмуртского университета. Серия Философия. Психология. Педагогика","Вестник Удмуртского университета. Серия Философия. Психология. Педагогика",NA,"с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.3.1. Общая психология, психология личности, история психологии","5.3.1 | 5.8.1"
724,"2413-2446","Вестник Удмуртского университета. Серия Экономика и право","Вестник Удмуртского университета. Серия Экономика и право",NA,"по 16.10.2022: 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики | 12.00.01 – Теория и история права и государства; история учений о праве и государстве | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.12 | 08.00.13 | 12.00.01 | 12.00.06 | 12.00.08 | 12.00.09 | 12.00.12 | 5.2.1 | 5.2.4 | 5.2.5"
725,"1816-4501","Вестник Ульяновской государственной сельскохозяйственной академии","Вестник Ульяновской государственной сельскохозяйственной академии",NA,"по 16.10.2022: 05.20.03 – Технологии и средства технического обслуживания в сельском хозяйстве | 06.01.04 – Агрохимия | 06.01.05 – Селекция и семеноводство сельскохозяйственных растений | 06.01.07 – Защита растений | 06.01.09 – Овощеводство | 06.02.01 – Диагностика болезней и терапия животных, патология, онкология и морфология животных | 06.02.04 – Ветеринарная хирургия | 06.02.07 – Разведение селекция и генетика сельскохозяйственных животных | 06.02.08 – Кормопроизводство, кормление сельскохозяйственных животных и технология кормов | 06.02.10 – Частная зоотехния, технология производства продуктов животноводства || с 01.02.2022: 4.1.1. Общее земледелие и растениеводство | 4.2.3. Инфекционные болезни и иммунология животных || с 28.12.2018: 05.20.01 – Технологии и средства","05.20.01 | 05.20.03 | 06.01.04 | 06.01.05 | 06.01.07 | 06.01.09 | 06.02.01 | 06.02.04 | 06.02.07 | 06.02.08 | 06.02.10 | 4.1.1 | 4.2.3"
726,"1816-4277","Вестник университета","Вестник университета",NA,"по 16.10.2022: 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики | 19.00.05 – Социальная психология | 22.00.03 – Экономическая социология и демография || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика | 5.3.1. Общая психология, психология личности, история психологии | 5.4.1. Теория, методология и история социологии | 5.4.4. Социальная структура, социальные институты и процессы | 5.4.5. Политическая социология | 5.4.6. Социология культуры | 5.4.7. Социология управления || с 20.07.2022: 5.2.2. Математические, статистические и инструментальные методы в экономике | 5.2.3. Региональная и отраслевая экономика | 5.2.6. Менеджмент | 5.3.3. Психология труда, инженерная психология, когнитивная эргономика | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред | 5.3.5. Социальная психология, политическая и экономическая психология | 5.3.7. Возрастная психология | 5.4.2. Экономическая социология | 5.4.3. Демография || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.12 | 08.00.13 | 19.00.05 | 22.00.03 | 5.2.1 | 5.2.2 | 5.2.3 | 5.2.4 | 5.2.5 | 5.2.6 | 5.3.1 | 5.3.3 | 5.3.4 | 5.3.5 | 5.3.7 | 5.4.1 | 5.4.2 | 5.4.3 | 5.4.4 | 5.4.5 | 5.4.6 | 5.4.7"
727,"2619-1237","Вестник Университета прокуратуры Российской Федерации (До  30.11.2018 г. наименование в Перечне  «Вестник Академии Генеральной прокуратуры Российской Федерации» ISSN 2070-4232)","Вестник Университета прокуратуры Российской Федерации","(До 30.11.2018 г. наименование в Перечне «Вестник Академии Генеральной прокуратуры Российской Федерации» ISSN 2070-4232)","по 16.10.2022: 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность || с 01.02.2022: 5.3.9. Юридическая психология и психология безопасности || с 28.12.2018: 12.00.02 – Конституционное право","12.00.02 | 12.00.08 | 12.00.09 | 12.00.11 | 5.3.9"
728,"2077-8325","Вестник университета (Российско-Таджикский (Славянский) университет)","Вестник университета","(Российско-Таджикский (Славянский)","по 16.10.2022: 10.02.01 – Русский язык | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 10.02.01 | 10.02.19 | 10.02.20 | 10.02.22 | 5.2.1 | 5.2.4 | 5.2.5"
729,"2311-5998","Вестник Университета имени О.Е. Кутафина (МГЮА)","Вестник Университета имени О.Е. Кутафина","(МГЮА)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 23.09.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки | 5.1.5. Международно-правовые науки || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4 | 5.1.5"
730,"2072-5833","Вестник Университета Российской академии образования","Вестник Университета Российской академии образования",NA,"с 01.02.2022: 5.3.1. Общая психология, психология личности, история психологии | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред | 5.8.1. Общая педагогика, история педагогики и образования | 5.8.2. Теория и методика обучения и воспитания | 5.8.7. Методология и технология профессионального образования || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 5.3.1 | 5.3.4 | 5.8.1 | 5.8.2 | 5.8.7"
731,"2079-0392","Вестник Уральского государственного университета путей сообщения","Вестник Уральского государственного университета путей сообщения",NA,"по 16.10.2022: 05.22.01 – Транспортные и транспортно- технологические системы страны, ее регионов и городов, организация производства на транспорте || с 01.02.2022: 2.9.2. Железнодорожный путь, изыскание и проектирование железных дорог | 2.9.3. Подвижной состав железных дорог, тяга поездов и электрификация | 2.9.4. Управление процессами перевозок | 2.1.16. Охрана труда в строительстве || с 26.03.2019: 05.02.22 – Организация производства","05.02.22 | 05.22.01 | 2.1.16 | 2.9.2 | 2.9.3 | 2.9.4"
732,"2312-5640","Вестник Уральского юридического института МВД России","Вестник Уральского юридического института МВД России",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.05 | 12.00.08 | 12.00.09 | 12.00.11 | 12.00.12 | 12.00.14 | 12.00.15"
733,"2073-9125","Вестник Уральской медицинской академической науки","Вестник Уральской медицинской академической науки",NA,"по 16.10.2022: 14.03.09 – Клиническая иммунология, аллергология || с 01.02.2022: 1.5.5. Физиология человека и животных | 3.3.3. Патологическая физиология | 3.3.6. Фармакология, клиническая фармакология || с 28.12.2018: 03.03.02 – Антропология","03.03.02 | 1.5.5 | 14.03.09 | 3.3.3 | 3.3.6"
734,"2308-6424","Вестник урологии","Вестник урологии",NA,"с 01.02.2022: 3.1.13. Урология и андрология","3.1.13"
735,"2225-5435","Вестник УрФО. Безопасность в информационной сфере","Вестник УрФО. Безопасность в информационной сфере",NA,"с 01.02.2022: 2.2.13. Радиотехника, в том числе системы и устройства телевидения | 2.3.1. Системный анализ, управление и обработка информации | 2.3.6. Методы и системы защиты информации, информационная безопасность","2.2.13 | 2.3.1 | 2.3.6"
736,"2687-0193","Вестник ученых- международников","Вестник ученых- международников",NA,"с 21.12.2021: 5.1.5. Международно-правовые науки | 5.5.2. Политические институты, процессы, технологии | 5.5.4. Международные отношения","5.1.5 | 5.5.2 | 5.5.4"
737,"1729-9187","Вестник Уфимского юридического института МВД России","Вестник Уфимского юридического института МВД России",NA,"по 16.10.2022: 10.02.04 – Германские языки | 12.00.01 – Теория и история права и государства; история учений о праве и государстве | 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.14 – Административное право; административный процесс || с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.7. Методология и технология профессионального образования || с 20.07.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4.Уголовно-правовые науки | 5.9.5. Русский язык. Языки народов России | 5.9.6. Языки народов зарубежных стран || с 26.03.2019: 10.02.01 – Русский язык","10.02.01 | 10.02.04 | 12.00.01 | 12.00.02 | 12.00.03 | 12.00.08 | 12.00.09 | 12.00.11 | 12.00.12 | 12.00.14 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4 | 5.8.1 | 5.8.7 | 5.9.5 | 5.9.6"
738,"2413-0478","Вестник физиотерапии и курортологии","Вестник физиотерапии и курортологии",NA,"с 01.02.2022: 3.1.21. Педиатрия | 3.1.24. Неврология | 3.1.7. Стоматология | 3.1.29. Пульмонология | 3.1.33. Восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия","3.1.21 | 3.1.24 | 3.1.29 | 3.1.33 | 3.1.7"
739,"2072-7984","Вестник хирургической гастроэнтерологии","Вестник хирургической гастроэнтерологии",NA,"с 01.02.2022: 3.1.6. Онкология, лучевая терапия | 3.1.9. Хирургия || с 12.02.2019: 14.01.28 – Гастроэнтерология","14.01.28 | 3.1.6 | 3.1.9"
740,"2587-6678","Вестник Центрального научно– исследовательского института туберкулеза","Вестник Центрального научно– исследовательского института туберкулеза",NA,"с 01.02.2022: 3.1.26. Фтизиатрия | 3.1.9. Хирургия | 3.1.29. Пульмонология","3.1.26 | 3.1.29 | 3.1.9"
741,"1994-2796","Вестник Челябинского государственного университета","Вестник Челябинского государственного университета",NA,"по 16.10.2022: 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики | 10.02.01 – Русский язык | 10.02.19 – Теория языка || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика | 5.7.1. Онтология и теория познания | 5.7.2. История философии | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия | 5.7.8. Философская антропология, философия культуры || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.12 | 08.00.13 | 10.02.01 | 10.02.19 | 5.2.1 | 5.2.4 | 5.2.5 | 5.7.1 | 5.7.2 | 5.7.6 | 5.7.7 | 5.7.8"
742,"1994-0637","Вестник Череповецкого государственного университета","Вестник Череповецкого государственного университета",NA,"по 16.10.2022: 10.02.02 – Языки народов Российской Федерации | 10.02.04 – Германские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание || с 01.02.2022: 5.8.7. Методология и технология профессионального образования | 5.8.1. Общая педагогика, история педагогики и образования | 2.3.1. Системный анализ, управление и обработка информации || с 03.06.2022: 5.9.5. Русский язык. Языки народов России | 5.9.6. Языки народов зарубежных стран | 5.9.8 . Теоретическая, прикладная и сравнительно-сопоставительная лингвистика || с 28.12.2018: 10.02.01 – Русский язык","10.02.01 | 10.02.02 | 10.02.04 | 10.02.19 | 10.02.20 | 2.3.1 | 5.8.1 | 5.8.7 | 5.9.5 | 5.9.6 | 5.9.8"
743,"2072-3121","Вестник Чеченского государственного университета им. А. А. Кадырова","Вестник Чеченского государственного университета им. А. А. Кадырова",NA,"с 29.03.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.4. Уголовно-правовые науки","5.1.1 | 5.1.4"
744,"1680-1709","Вестник Чувашского государственного педагогического университета им. И.Я. Яковлева","Вестник Чувашского государственного педагогического университета им. И.Я. Яковлева",NA,"по 16.10.2022: 10.01.02 – Литература народов Российской Федерации | 10.01.03 – Литература народов стран зарубежья | 10.01.10 – Журналистика | 10.02.01 – Русский язык | 10.02.02 – Языки народов Российской Федерации | 10.02.03 – Славянские языки | 10.02.04 – Германские языки | 10.02.05 – Романские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.21 – Прикладная и математическая лингвистика | 10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии | 13.00.04 – Теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры | 13.00.05 – Теория, методика и организация социально-культурной деятельности || с 01.02.2022: 5.9.3. Теория литературы | 5.9.4. Фольклористика | 5.9.7. Классическая, византийская и новогреческая филология | 5.8.1. Общая педагогика, история педагогики и образования | 5.8.2. Теория и методика обучения и воспитания | 5.8.7. Методология и технология профессионального образования || с 28.12.2018: 10.01.01 – Русская литература","10.01.01 | 10.01.02 | 10.01.03 | 10.01.10 | 10.02.01 | 10.02.02 | 10.02.03 | 10.02.04 | 10.02.05 | 10.02.19 | 10.02.20 | 10.02.21 | 10.02.22 | 13.00.04 | 13.00.05 | 5.8.1 | 5.8.2 | 5.8.7 | 5.9.3 | 5.9.4 | 5.9.7"
745,"2073-5499","Вестник Чувашского государственного педагогического университета им. И.Я. Яковлева. Серия: Механика предельного состояния","Вестник Чувашского государственного педагогического университета им. И.Я. Яковлева. Серия: Механика предельного состояния",NA,"с 01.02.2022: 1.1.8. Механика деформируемого твердого тела","1.1.8"
746,"1810-1909","Вестник Чувашского университета","Вестник Чувашского университета",NA,"по 16.10.2022: 05.09.03 – Электротехнические комплексы и системы | 05.09.10 – Электротехнология | 05.09.12 – Силовая электроника | 05.14.02 – Электрические станции и электроэнергетические системы || с 01.02.2022: 5.6.1. Отечественная история | 5.6.2. Всеобщая история | 5.6.4. Этнология, антропология и этнография || с 28.12.2018: 05.09.01 – Электромеханика и","05.09.01 | 05.09.03 | 05.09.10 | 05.09.12 | 05.14.02 | 5.6.1 | 5.6.2 | 5.6.4"
747,"1998-5533","Вестник экономики, права и социологии","Вестник экономики, права и социологии",NA,"по 16.10.2022: 12.00.01 – Теория и история права и государства; история учений о праве и государстве | 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 22.00.03 – Экономическая социология и демография || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика | 5.4.1. Теория, методология и история социологии | 5.4.4. Социальная структура, социальные институты и процессы | 5.4.5. Политическая социология | 5.4.6. Социология культуры | 5.4.7. Социология управления || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 12.00.01 | 12.00.02 | 12.00.03 | 12.00.08 | 12.00.10 | 12.00.11 | 22.00.03 | 5.2.1 | 5.2.4 | 5.2.5 | 5.4.1 | 5.4.4 | 5.4.5 | 5.4.6 | 5.4.7"
748,"2500-2643","Вестник экономического правосудия Российской Федерации","Вестник экономического правосудия Российской Федерации",NA,"по 16.10.2022: 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.03 | 12.00.04 | 12.00.07 | 12.00.15"
749,"2414-3995","Вестник экономической безопасности","Вестник экономической безопасности",NA,"по 16.10.2022: 12.00.01 – Теория и история права и государства; история учений о праве и государстве | 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.7. Методология и технология профессионального образования || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15 | 5.8.1 | 5.8.7"
750,"2070-478X","Вестник экспериментальной и клинической хирургии","Вестник экспериментальной и клинической хирургии",NA,"с 01.02.2022: 3.1.9. Хирургия | 3.1.11. Детская хирургия","3.1.11 | 3.1.9"
751,"1816-9228","Вестник Югорского государственного университета","Вестник Югорского государственного университета",NA,"с 01.02.2022: 2.6.17. Материаловедение | 1.2.2. Математическое моделирование, численные методы и комплексы программ || с 21.11.2019: 12.00.08 – Уголовное право","1.2.2 | 12.00.08 | 2.6.17"
752,"2075-2067","Вестник Южно-российского государственного технического университета (НПИ). Серия: Социально-экономические науки","Вестник Южно-российского государственного технического университета","(НПИ)","по 16.10.2022: 22.00.03 – Экономическая социология и демография || по 21.10.2021: 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики || с 01.02.2022: 5.2.1. Экономическая теория | 5.4.4. Социальная структура, социальные институты и процессы || с 22.10.2021: 5.4.6. Социология культуры | 5.4.7. Социология управления | 5.7.7. Социальная и политическая философия | 5.7.8. Философская антропология, философия культуры || с 28.12.2018: 08.00.05 – Экономика и управление | 08.00.10 – Финансы, денежное","08.00.05 | 08.00.10 | 08.00.12 | 08.00.13 | 22.00.03 | 5.2.1 | 5.4.4 | 5.4.6 | 5.4.7 | 5.7.7 | 5.7.8"
753,"2618-9682","Вестник Южно-Уральского государственного гуманитарно- педагогического университета (Вестник ЮУрГГПУ) / The Herald of South-Ural State Humanities-Pedagogical University (Herald SUrSHPU) (До 03.06.2021 наименование в Перечне «Вестник Челябинского государственного педагогического университета» ISSN 1997-9886)","Вестник Южно-Уральского государственного гуманитарно- педагогического университета","(Вестник ЮУрГГПУ)","по 16.10.2022: 19.00.13 – Психология развития, акмеология || с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.7. Методология и технология профессионального образования | 5.3.1. Общая психология, психология личности, история психологии | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред || с 28.12.2018: 19.00.05 – Социальная психология","19.00.05 | 19.00.13 | 5.3.1 | 5.3.4 | 5.8.1 | 5.8.7"
754,"2305-9052","Вестник Южно-Уральского государственного университета. Серия ""Вычислительная математика и информатика""","Вестник Южно-Уральского государственного университета. Серия ""Вычислительная математика и информатика""",NA,"с 01.02.2022: 2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей || с 13.10.2022: 1.2.3. Теоретическая информатика, кибернетика || с 28.12.2018: 05.13.17 – Теоретические основы","05.13.17 | 1.2.3 | 2.3.5"
755,"1991-976X","Вестник Южно-Уральского государственного университета. Серия ""Компьютерные технологии, управление, радиоэлектроника""","Вестник Южно-Уральского государственного университета. Серия ""Компьютерные технологии, управление, радиоэлектроника""",NA,"с 01.02.2022: 2.3.1. Системный анализ, управление и обработка информации | 2.3.3. Автоматизация и управление технологическими процессами и производствами | 2.3.4. Управление в организационных системах","2.3.1 | 2.3.3 | 2.3.4"
756,"1991-9751","Вестник Южно-Уральского государственного университета. Серия ""Лингвистика""","Вестник Южно-Уральского государственного университета. Серия ""Лингвистика""",NA,"по 16.10.2022: 10.02.04 – Германские языки | 10.02.05 – Романские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.21 – Прикладная и математическая лингвистика || с 23.09.2022: 5.9.8. Теоретическая, прикладная и сравнительно-сопоставительная лингвистика || с 28.12.2018: 10.02.01 – Русский язык","10.02.01 | 10.02.04 | 10.02.05 | 10.02.19 | 10.02.20 | 10.02.21 | 5.9.8"
757,"2075-809X","Вестник Южно-Уральского государственного университета. Серия ""Математика. Механика. Физика""","Вестник Южно-Уральского государственного университета. Серия ""Математика. Механика. Физика""",NA,"по 16.10.2022: 01.01.09 – Дискретная математика и математическая кибернетика || с 01.02.2022: 1.1.1. Вещественный, комплексный и функциональный анализ | 1.1.6. Вычислительная математика | 1.1.9. Механика жидкости, газа и плазмы | 1.3.6. Оптика | 1.3.8. Физика конденсированного состояния || с 28.12.2018: 01.01.02 – Дифференциальные","01.01.02 | 01.01.09 | 1.1.1 | 1.1.6 | 1.1.9 | 1.3.6 | 1.3.8"
758,"1990-8504","Вестник Южно-Уральского государственного университета. Серия ""Машиностроение""","Вестник Южно-Уральского государственного университета. Серия ""Машиностроение""",NA,"по 16.10.2022: 05.02.11 – Методы контроля и диагностика в машиностроении | 05.05.03 – Колесные и гусеничные машины || с 01.02.2022: 2.5.3. Трение и износ в машинах | 2.5.5. Технология и оборудование механической и физико-технической обработки | 2.5.6. Технология машиностроения | 2.5.13. Проектирование, конструкция и производство летательных аппаратов || с 26.03.2019: 05.02.02 – Машиноведение, системы","05.02.02 | 05.02.11 | 05.05.03 | 2.5.13 | 2.5.3 | 2.5.5 | 2.5.6"
759,"1990-8482","Вестник Южно-Уральского государственного университета. Серия ""Металлургия""","Вестник Южно-Уральского государственного университета. Серия ""Металлургия""",NA,"с 01.02.2022: 2.6.1. Металловедение и термическая обработка металлов и сплавов | 2.6.2. Металлургия черных, цветных и редких металлов | 2.6.3. Литейное производство | 2.6.4. Обработка металлов давлением","2.6.1 | 2.6.2 | 2.6.3 | 2.6.4"
760,"2073-7602","Вестник Южно-Уральского государственного университета. Серия ""Образование. Педагогические науки""","Вестник Южно-Уральского государственного университета. Серия ""Образование. Педагогические науки""",NA,"с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.7. Методология и технология профессионального образования || с 28.12.2018: 13.00.05 – Теория, методика и","13.00.05 | 5.8.1 | 5.8.7"
761,"2310-2748","Вестник Южно-Уральского государственного университета. Серия «Пищевые и биотехнологии»","Вестник Южно-Уральского государственного университета. Серия «Пищевые и биотехнологии»",NA,"по 16.10.2022: 05.18.04 – Технология мясных, молочных и рыбных продуктов и холодильных производств | 05.18.15 – Технология и товароведение пищевых продуктов и функционального и специализированного назначения и общественного питания || с 01.02.2022: 4.3.5. Биотехнология продуктов питания и биологически активных веществ || с 12.02.2019: 05.18.01 – Технология обработки","05.18.01 | 05.18.04 | 05.18.15 | 4.3.5"
